Census division and state or area,2000,2010,2013,2014,Total,Fee for service,Managed care,Total.1,Fee for service.1,Managed care.1,Total.2,Fee for service.2,Managed care.2,Total.3,Fee for service.3,Managed care.3
Total,,,,,,,,,,,,,,,,
All areas,5373,4913,460,8033,6619,1414,8843,6871,1972,8983,6770,2213,,,,
United States a,5219,4759,459,7847,6540,1307,8638,6795,1843,8777,6698,2079,,,,
New England,284,265,19,415,390,25,451,417,34,458,403,55,,,,
Connecticut,57,53,4,78,70,8,83,71,12,84,70,13,,,,
Maine,36,36,(F),56,54,2,60,56,4,60,55,4,,,,
Massachusetts,131,120,11,186,179,7,204,195,9,208,180,28,,,,
New Hampshire,23,23,(F),41,39,2,46,44,2,47,45,2,,,,
Rhode Island,24,20,4,34,29,5,36,30,6,37,30,7,,,,
Vermont,13,13,(F),20,20,(F),22,21,1,22,22,1,,,,
Middle Atlantic,729,655,73,1039,819,220,1124,838,286,1137,839,298,,,,
New Jersey,133,124,9,181,163,18,197,163,33,200,169,31,,,,
New York,366,334,31,490,392,98,524,394,130,527,385,142,,,,
Pennsylvania,230,197,33,368,264,104,403,281,122,411,285,125,,,,
East North Central,823,773,50,1216,1080,136,1354,1141,213,1377,1116,261,,,,
Illinois,195,180,15,276,256,20,298,270,27,300,251,49,,,,
Indiana,117,114,3,179,158,21,200,167,33,204,169,36,,,,
Michigan,200,193,7,307,279,29,348,294,53,354,292,62,,,,
Ohio,221,199,23,315,269,46,352,283,70,359,278,81,,,,
Wisconsin,90,88,2,139,118,21,156,126,30,160,126,34,,,,
West North Central,339,324,14,513,456,57,563,483,81,573,485,88,,,,
Iowa,50,49,1,71,66,6,77,69,8,78,70,8,,,,
Kansas,43,42,2,66,61,5,73,66,7,74,66,8,,,,
Minnesota,72,70,1,112,97,15,124,106,18,127,107,20,,,,
Missouri,124,115,10,192,168,24,213,174,39,217,174,44,,,,
Nebraska,26,26,1,39,35,4,42,36,6,42,37,6,,,,
North Dakota,10,10,(F),14,13,1,15,14,1,15,14,1,,,,
South Dakota,13,13,(F),18,17,1,19,18,2,19,18,2,,,,
South Atlantic,1082,998,84,1606,1325,281,1774,1365,409,1810,1342,468,,,,
Delaware,15,14,(F),25,24,1,27,25,2,27,25,2,,,,
District of Columbia,10,9,(F),13,12,1,15,14,1,15,14,1,,,,
Florida,316,253,63,463,343,120,527,349,178,545,346,199,,,,
Georgia,167,161,6,246,207,38,277,214,63,284,209,74,,,,
Maryland,75,70,5,112,104,8,127,117,10,130,119,10,,,,
North Carolina,195,191,4,300,258,42,322,264,58,327,256,71,,,,
South Carolina,105,105,(F),159,131,27,173,130,43,176,127,49,,,,
Virginia,133,130,3,194,162,31,208,170,38,211,165,46,,,,
West Virginia,67,64,3,95,82,13,97,82,15,96,80,16,,,,
East South Central,498,482,16,750,616,134,817,628,189,826,619,207,,,,
Alabama,128,119,9,206,159,47,227,169,58,231,168,63,,,,
Kentucky,132,128,4,193,167,26,208,175,33,209,172,37,,,,
Mississippi,89,88,(F),125,113,12,133,115,18,134,115,19,,,,
Tennessee,149,146,3,225,175,50,249,169,79,252,164,88,,,,
West South Central,541,492,50,892,743,149,999,776,222,1015,768,247,,,,
Arkansas,80,78,2,126,106,20,137,106,31,138,106,32,,,,
Louisiana,104,92,12,147,124,23,164,131,32,166,130,36,,,,
Oklahoma,70,65,4,115,101,14,126,108,18,127,109,18,,,,
Texas,288,256,31,504,412,92,572,431,141,584,423,161,,,,
Mountain,286,240,46,457,342,115,511,361,150,523,361,162,,,,
Arizona,85,62,24,142,88,54,155,86,69,157,85,72,,,,
Colorado,65,53,11,90,70,20,103,77,26,105,77,28,,,,
Idaho,21,20,1,37,30,7,42,33,9,43,33,10,,,,
Montana,18,18,(F),26,22,3,28,24,4,29,25,4,,,,
Nevada,31,24,7,53,42,10,61,47,14,63,47,15,,,,
New Mexico,34,31,3,57,48,9,63,50,13,65,49,16,,,,
Utah,24,23,(F),41,31,10,48,32,15,49,33,16,,,,
Wyoming,8,8,(F),11,11,1,12,12,(F),13,12,(F),,,,
Pacific,636,529,107,958,769,189,1045,786,259,1058,765,293,,,,
Alaska,7,7,(F),12,12,(F),13,13,(F),13,13,(F),,,,
California,464,378,86,676,544,133,731,552,179,737,530,207,,,,
Hawaii,15,14,1,22,17,6,24,15,10,24,14,10,,,,
Oregon,58,46,11,94,66,27,105,73,32,107,74,33,,,,
Washington,93,84,9,154,131,23,171,132,39,176,134,42,,,,
Unknown,1,1,(F),(F),(F),(F),(F),(F),(F),(F),(F),(F),,,,
Outlying areas,,,,,,,,,,,,,,,,
Puerto Rico,136,136,(F),164,58,107,181,53,129,183,50,134,,,,
U.S. Virgin Islands,1,1,(F),2,2,(F),2,2,(F),2,2,(F),,,,
Other,2,2,(F),3,3,(F),4,3,(F),4,4,(F),,,,
Foreign countries,15,15,(F),17,16,(F),17,17,(F),17,17,(F),,,,
SOURCE: Centers for Medicare & Medicaid Services.,"NOTES: Characterization of persons enrolled may differ slightly from that in other tables on enrollment, and in prior editions of this table, because of differences in sources and methodology.
          Totals do not necessarily equal the sum of rounded components.
          (F) = fewer than 500.
        ",a. Includes enrollees with unknown residence.,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,,,,,,,
