Year,Number (thousands),Average age,Percentage distribution,"Total, 62 or older",62–64,65–69,70–74,75–79,80–84,85 or older
,Men,,,,,,,,,
1940,99,68.8,100.0,. . .,74.4,17.4,6.4,1.6,0.2,
1945,447,71.7,100.0,. . .,39.9,40.2,15.1,4.0,0.7,
1950,1469,72.2,100.0,. . .,39.1,33.7,20.2,5.9,1.2,
1955,3252,72.7,100.0,. . .,35.7,34.8,20.0,7.6,1.9,
1960,5217,73.2,100.0,. . .,33.8,33.1,21.1,9.0,3.1,
1965,6825,72.9,100.0,6.9,29.7,29.5,19.9,9.9,4.1,
1970,7688,72.6,100.0,7.5,30.1,26.9,19.6,10.6,5.3,
1975,9163,72.3,100.0,9.3,32.2,25.6,17.1,10.1,5.7,
1980,10461,72.2,100.0,9.5,32.1,25.8,16.9,9.5,6.1,
1985,11817,72.3,100.0,10.9,30.2,25.9,17.3,9.6,6.1,
1986,12080,72.4,100.0,10.9,30.3,25.7,17.3,9.7,6.1,
1987,12295,72.4,100.0,10.9,30.2,25.5,17.4,9.9,6.1,
1988,12483,72.4,100.0,10.7,30.0,25.5,17.6,10.0,6.2,
1989,12718,72.5,100.0,10.5,30.1,25.2,17.8,10.1,6.3,
1990,12985,72.5,100.0,10.3,30.0,25.3,17.8,10.2,6.4,
1991,13227,72.6,100.0,10.2,29.5,25.7,17.9,10.3,6.4,
1992,13474,72.7,100.0,10.0,29.2,25.8,17.8,10.5,6.6,
1993,13649,72.8,100.0,9.9,28.9,25.9,17.9,10.7,6.8,
1994,13795,72.8,100.0,9.8,28.3,26.2,17.9,10.9,6.9,
1995,13915,72.9,100.0,9.5,28.0,26.1,18.3,11.1,7.0,
1996,14012,73.1,100.0,9.2,27.6,25.8,18.9,11.3,7.2,
1997,14126,73.2,100.0,9.0,27.2,25.8,19.2,11.4,7.4,
1998,14206,73.3,100.0,9.0,26.6,25.6,19.5,11.6,7.6,
1999,14329,73.3,100.0,9.1,26.4,25.2,19.8,11.7,7.8,
2000,14772,73.2,100.0,9.0,27.6,24.6,19.3,11.7,7.8,
2001,14930,73.3,100.0,8.9,27.6,24.3,19.1,12.1,7.9,
2002,15070,73.3,100.0,8.8,27.9,24.0,19.1,12.4,7.8,
2003,15254,73.3,100.0,8.7,27.9,23.5,19.0,12.6,8.2,
2004,15438,73.4,100.0,8.9,27.7,23.4,18.8,12.8,8.4,
2005,15654,73.4,100.0,9.1,27.4,23.2,18.7,12.8,8.7,
2006,15869,73.5,100.0,9.0,27.5,23.2,18.5,12.8,9.1,
2007,16112,73.5,100.0,8.5,27.8,23.3,18.3,12.8,9.3,
2008,16456,73.5,100.0,8.3,28.0,23.6,17.9,12.7,9.5,
2009,17067,73.4,100.0,9.1,28.2,23.3,17.5,12.4,9.6,
2010,17582,73.4,100.0,9.7,28.0,23.3,17.1,12.2,9.6,
2011,18043,73.4,100.0,9.4,28.3,23.6,17.0,12.0,9.7,
2012,18560,73.4,100.0,8.6,28.8,24.3,16.9,11.8,9.7,
2013,19099,73.4,100.0,8.0,29.0,24.9,17.0,11.5,9.7,
2014,19602,73.4,100.0,7.5,29.3,25.2,17.1,11.3,9.7,
,Women,,,,,,,,,
1940,13,68.1,100.0,. . .,82.6,12.8,3.9,0.6,(L),
1945,71,70.8,100.0,. . .,47.1,40.0,10.2,2.3,0.3,
1950,302,71.1,100.0,. . .,48.4,32.9,15.0,3.2,0.5,
1955,1222,71.3,100.0,. . .,47.8,32.3,14.6,4.4,0.8,
1960,2845,71.0,100.0,12.6,36.3,29.0,15.0,5.6,1.6,
1965,4276,71.8,100.0,12.2,31.6,28.1,17.6,7.7,2.8,
1970,5661,72.0,100.0,11.5,30.1,25.4,18.7,10.0,4.4,
1975,7424,72.2,100.0,11.8,30.4,24.2,16.9,10.6,6.1,
1980,9101,72.6,100.0,11.2,29.2,24.2,17.1,10.6,7.7,
1985,10615,73.3,100.0,11.0,26.9,23.9,17.9,11.4,8.8,
1986,10901,73.3,100.0,10.8,26.7,23.8,18.0,11.7,9.0,
1987,11145,73.4,100.0,10.7,26.4,23.6,18.1,11.9,9.3,
1988,11944,73.5,100.0,10.5,26.0,23.6,18.2,12.2,9.5,
1989,11608,73.6,100.0,10.2,26.1,23.1,18.4,12.4,9.8,
1990,11842,73.7,100.0,9.9,25.9,23.0,18.5,12.5,10.2,
1991,12048,73.9,100.0,9.5,25.4,23.2,18.6,12.7,10.5,
1992,12272,74.0,100.0,9.3,25.2,23.1,18.5,12.9,10.9,
1993,12447,74.1,100.0,9.0,24.9,23.0,18.6,13.1,11.3,
1994,12607,74.2,100.0,9.0,24.3,23.2,18.4,13.4,11.6,
1995,12757,74.3,100.0,8.8,24.0,23.2,18.5,13.5,11.9,
1996,12887,74.4,100.0,8.7,23.6,22.9,18.8,13.7,12.2,
1997,13155,74.5,100.0,8.6,23.2,23.0,19.0,13.8,12.5,
1998,13304,74.6,100.0,8.7,22.8,22.8,19.0,13.9,12.8,
1999,13453,74.6,100.0,8.8,22.8,22.3,19.3,13.8,13.0,
2000,13734,74.6,100.0,8.9,23.4,21.9,19.1,13.8,13.0,
2001,13912,74.6,100.0,8.9,23.6,21.6,18.8,13.9,13.1,
2002,14096,74.6,100.0,8.8,23.9,21.3,18.7,14.0,13.3,
2003,14294,74.5,100.0,8.8,24.3,21.0,18.5,14.0,13.4,
2004,14534,74.5,100.0,9.0,24.4,20.9,18.1,14.1,13.4,
2005,14821,74.5,100.0,9.4,24.4,20.8,17.8,14.1,13.5,
2006,15107,74.5,100.0,9.4,24.8,20.9,17.5,13.9,13.7,
2007,15416,74.5,100.0,9.0,25.3,21.1,17.2,13.7,13.8,
2008,15818,74.4,100.0,8.9,25.8,21.5,16.7,13.5,13.7,
2009,16447,74.2,100.0,9.6,26.1,21.4,16.3,12.9,13.6,
2010,17011,74.1,100.0,10.2,26.0,21.5,16.1,12.6,13.5,
2011,17557,74.1,100.0,10.0,26.5,21.9,16.0,12.2,13.4,
2012,18161,74.0,100.0,9.3,27.1,22.6,15.9,11.9,13.2,
2013,18793,74.0,100.0,8.8,27.5,23.3,16.1,11.5,12.9,
2014,19407,74.0,100.0,8.3,27.9,23.7,16.2,11.3,12.7,
"SOURCE: Social Security Administration, Master Beneficiary Record. Data for 1988 and 1990–2005 are based on a 10 percent sample. All other years are 100 percent data.",NOTES: Totals do not necessarily equal the sum of rounded components.,. . . = not applicable; (L) = less than 0.05 percent.,CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,
