Type of benefit,Number (thousands),Average age
"Total, OASDI",59007,67
OASI,48076,71
Retired workers,39009,74
Spouses of retired workers,2303,73
Children of retired workers,635,25
Under age 18,328,13
Disabled adult children,288,40
"Students, aged 18–19",20,18
Children of deceased workers,1892,25
Under age 18,1188,12
Disabled adult children,641,48
"Students, aged 18–19",62,18
Nondisabled widow(er)s,3835,77
Widowed mothers and fathers,143,44
Disabled widow(er)s,258,59
Parents of deceased workers,1,83
DI,10931,47
Disabled workers,8955,54
Spouses of disabled workers,149,56
Children of disabled workers,1828,13
Under age 18,1650,12
Disabled adult children,120,27
"Students, aged 18–19",58,18
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",NOTE: Totals do not necessarily equal the sum of rounded components.,CONTACT: (410) 965-0090 or statistics@ssa.gov.
